angular_z,linear_x,left_forward,right_forward,left_side,right_side,ans,time
0.14381513,0.137700006,77,82,358,461,0,30.85
0.097738437,0.136199996,92,86,395,465,0,30.9
0.097738437,0.136199996,92,86,395,465,0,30.95
0.047472954,0.136500001,90,85,407,441,0,31
0.047472954,0.136500001,90,85,407,441,0,31.05
0.011170107,0.133049995,113,82,426,434,0,31.1
0.011170107,0.133049995,113,82,426,434,0,31.15
-0.055850536,0.1338,108,107,418,378,0,31.2
-0.055850536,0.1338,108,107,418,378,0,31.25
0.15358898,0.131699994,122,106,282,392,0,31.3
0.15358898,0.131699994,122,106,282,392,0,31.35
0.518013716,0.126450002,157,126,38,409,0,31.4
0.518013716,0.126450002,157,126,38,409,0,31.45
0.487295926,0.129899994,134,125,12,361,0,31.5
0.487295926,0.129899994,134,125,12,361,0,31.55
0.409105182,0.127800003,148,134,13,306,0,31.6
0.409105182,0.127800003,148,134,13,306,0,31.65
0.309970468,0.130649999,129,125,19,241,0,31.7
0.309970468,0.130649999,129,125,19,241,0,31.75
0.249931142,0.126149997,129,159,7,186,0,31.8
0.249931142,0.126149997,129,159,7,186,0,31.85
0.191288084,0.125850007,146,161,18,155,0,31.9
0.191288084,0.125850007,146,161,18,155,0,31.95
0.17453292,0.120300002,157,198,11,136,0,32
0.17453292,0.120300002,157,198,11,136,0,32.05
0.182910502,0.112049997,172,253,17,148,0,32.1
0.182910502,0.112049997,172,253,17,148,0,32.15
0.242949829,0.107249998,177,285,19,193,0,32.2
0.242949829,0.107249998,177,285,19,193,0,32.25
0.216420829,0.097050004,199,353,20,175,0,32.3
0.216420829,0.097050004,199,353,20,175,0,32.35
0.270875096,0.089699998,235,402,29,223,0,32.4
0.270875096,0.089699998,235,402,29,223,0,32.45
0.330914438,0.07965,226,469,31,268,0,32.5
0.330914438,0.07965,226,469,31,268,0,32.55
0.438426703,0.070050001,248,533,35,349,0,32.6
0.438426703,0.070050001,248,533,35,349,0,32.65
0.603185773,0.060449999,223,597,38,470,0,32.7
0.603185773,0.060449999,223,597,38,470,0,32.75
0.730245769,0.058649998,213,609,46,569,0,32.8
0.730245769,0.058649998,213,609,46,569,0,32.85
0.925722659,0.061949998,190,587,34,697,0,32.9
0.925722659,0.061949998,190,587,34,697,0,32.95
1.026253581,0.063900001,138,574,29,764,0,33
1.026253581,0.063900001,138,574,29,764,0,33.05
1.228711843,0.076949999,95,487,32,912,0,33.1
1.228711843,0.076949999,95,487,32,912,0,33.15
1.655968428,0.101400003,48,324,16,1202,0,33.2
1.655968428,0.101400003,48,324,16,1202,0,33.25
1.094670534,0.128399998,26,144,85,869,0,33.3
1.094670534,0.128399998,26,144,85,869,0,33.35
0.60597831,0.142649993,49,47,200,634,0,33.4
0.60597831,0.142649993,49,47,200,634,0,33.45
0.392350018,0.142199993,39,52,274,555,0,33.5
0.392350018,0.142199993,39,52,274,555,0,33.55
0.312763005,0.139950007,60,67,318,542,0,33.6
0.312763005,0.139950007,60,67,318,542,0,33.65
0.255516201,0.137850001,71,81,331,514,0,33.7
0.255516201,0.137850001,71,81,331,514,0,33.75
0.160570294,0.136950001,77,87,374,489,0,33.8
0.160570294,0.136950001,77,87,374,489,0,33.85
0.093549646,0.136950001,85,87,410,477,0,33.9
0.093549646,0.136950001,85,87,410,477,0,33.95
0.086568333,0.133650005,109,102,408,470,0,34
0.086568333,0.133650005,109,102,408,470,0,34.05
0.139626339,0.132300004,118,109,363,463,0,34.1
0.139626339,0.132300004,118,109,363,463,0,34.15
0.435634196,0.128700003,142,132,138,450,0,34.2
0.435634196,0.128700003,142,132,138,450,0,34.25
0.511032403,0.128999993,140,134,37,403,0,34.3
0.511032403,0.128999993,140,134,37,403,0,34.35
0.455181867,0.125699997,162,135,14,340,0,34.4
0.455181867,0.125699997,162,135,14,340,0,34.45
0.357443422,0.127800003,148,117,17,273,0,34.5
0.357443422,0.127800003,148,117,17,273,0,34.55
0.265290052,0.130500004,130,119,16,206,0,34.6
0.265290052,0.130500004,130,119,16,206,0,34.65
0.215024561,0.128700003,137,142,17,171,0,34.7
0.215024561,0.128700003,137,142,17,171,0,34.75
0.177325457,0.124049999,144,173,19,146,0,34.8
0.177325457,0.124049999,144,173,19,146,0,34.85
0.150796443,0.122699998,154,182,20,128,0,34.9
0.150796443,0.122699998,154,182,20,128,0,34.95
0.177325457,0.116549999,170,223,14,141,0,35
0.177325457,0.116549999,170,223,14,141,0,35.05
0.224798411,0.10695,171,287,22,183,0,35.1
0.224798411,0.10695,171,287,22,183,0,35.15
0.215024561,0.103500001,208,310,20,174,0,35.2
0.215024561,0.103500001,208,310,20,174,0,35.25
0.252723664,0.091349997,244,391,21,202,0,35.3
0.252723664,0.091349997,244,391,21,202,0,35.35
0.344877064,0.079800002,240,468,19,266,0,35.4
0.344877064,0.079800002,240,468,19,266,0,35.45
0.439822972,0.067950003,255,547,23,338,0,35.5
0.439822972,0.067950003,255,547,23,338,0,35.55
0.592015684,0.061500002,268,590,20,444,0,35.6
0.592015684,0.061500002,268,590,20,444,0,35.65
0.727453232,0.057,234,620,38,559,0,35.7
0.727453232,0.057,234,620,38,559,0,35.75
0.87266463,0.05655,209,623,37,662,0,35.8
0.87266463,0.05655,209,623,37,662,0,35.85
0.995535791,0.060600001,170,596,37,750,0,35.9
0.995535791,0.060600001,170,596,37,750,0,35.95
1.156106114,0.06645,124,557,36,864,0,36
1.156106114,0.06645,124,557,36,864,0,36.05
1.482831717,0.083849996,71,441,23,1085,0,36.1
1.482831717,0.083849996,71,441,23,1085,0,36.15
1.474454165,0.108149998,37,279,47,1103,0,36.2
1.474454165,0.108149998,37,279,47,1103,0,36.25
0.998328328,0.134399995,41,104,114,829,0,36.3
0.998328328,0.134399995,41,104,114,829,0,36.35
0.603185773,0.143250003,38,45,201,633,0,36.4
0.603185773,0.143250003,38,45,201,633,0,36.45
0.381179899,0.141450003,57,48,269,542,0,36.5
0.381179899,0.141450003,57,48,269,542,0,36.55
0.298800379,0.139799997,68,52,314,528,0,36.6
0.298800379,0.139799997,68,52,314,528,0,36.65
0.191288084,0.137549996,83,73,346,483,0,36.7
0.191288084,0.137549996,83,73,346,483,0,36.75
0.139626339,0.135900006,94,88,354,454,0,36.8
0.139626339,0.135900006,94,88,354,454,0,36.85
0.047472954,0.13515,99,87,400,434,0,36.9
0.047472954,0.13515,99,87,400,434,0,36.95
-0.001396263,0.13425,96,105,407,406,0,37
-0.001396263,0.13425,96,105,407,406,0,37.05
0.043284167,0.130649999,129,105,385,416,0,37.1
0.043284167,0.130649999,129,105,385,416,0,37.15
-0.121474914,0.130199999,132,123,418,331,0,37.2
-0.121474914,0.130199999,132,123,418,331,0,37.25
-0.504051089,0.126149997,159,116,416,55,0,37.3
